date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:04:30	179254/179254	---MCZ	200	added ('OK')	text/html	etag:W/%22033d801d66201202cd0b61c09fd98feb%22	https://www.busuu.com/	C:/Users/juanp/Desktop/Trabajosu/ingles/nn/www.busuu.com/index.html	(from )
01:04:31	228/228	---M-Z	200	added ('OK')	text/plain	etag:%2266d59441-1b5%22	https://www.busuu.com/robots.txt		(from )
01:04:32	163714/163714	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%220c59088cf01753a29cbe27163fb40a21%22	https://www.busuu.com/e,location.href	C:/Users/juanp/Desktop/Trabajosu/ingles/nn/www.busuu.com/e,location.href	(from https://www.busuu.com/)
01:04:33	773/773	---M-Z	200	added ('OK')	application/json	etag:W/%2266daf8eb-305%22	https://www.busuu.com/manifest.json	C:/Users/juanp/Desktop/Trabajosu/ingles/nn/www.busuu.com/manifest.json	(from https://www.busuu.com/)
01:04:33	179231/179231	---M-Z	200	added ('OK')	text/html	etag:W/%22f447fa6c7e706b1ee87b176b9eacd06a%22	https://www.busuu.com/en-us	C:/Users/juanp/Desktop/Trabajosu/ingles/nn/www.busuu.com/en-us.html	(from https://www.busuu.com/)
01:04:34	189758/189758	---M-Z	200	added ('OK')	text/html	etag:W/%2212af421c165ef040e3068517b79cf186%22	https://www.busuu.com/es	C:/Users/juanp/Desktop/Trabajosu/ingles/nn/www.busuu.com/es.html	(from https://www.busuu.com/)
01:04:34	187722/187722	---M-Z	200	added ('OK')	text/html	etag:W/%2275be4d250b0adf2b9172f9261dfe183b%22	https://www.busuu.com/it	C:/Users/juanp/Desktop/Trabajosu/ingles/nn/www.busuu.com/it.html	(from https://www.busuu.com/)
01:04:34	194298/194298	---M-Z	200	added ('OK')	text/html	etag:W/%2254762f8e07e89b7c4c5a14ae97549e2f%22	https://www.busuu.com/fr	C:/Users/juanp/Desktop/Trabajosu/ingles/nn/www.busuu.com/fr.html	(from https://www.busuu.com/)
01:04:35	193844/193844	---M-Z	200	added ('OK')	text/html	etag:W/%221635f40ce5fba90dbbe49bebc20354ed%22	https://www.busuu.com/pt	C:/Users/juanp/Desktop/Trabajosu/ingles/nn/www.busuu.com/pt.html	(from https://www.busuu.com/)
01:04:35	188539/188539	---M-Z	200	added ('OK')	text/html	etag:W/%224a4d3d7e8a096ff5bfa900ab7351f91d%22	https://www.busuu.com/tr	C:/Users/juanp/Desktop/Trabajosu/ingles/nn/www.busuu.com/tr.html	(from https://www.busuu.com/)
01:04:35	222857/222857	---M-Z	200	added ('OK')	text/html	etag:W/%221ca9350bdd3b67406868196cccf64def%22	https://www.busuu.com/ar	C:/Users/juanp/Desktop/Trabajosu/ingles/nn/www.busuu.com/ar.html	(from https://www.busuu.com/)
01:04:36	193665/193665	---M-Z	200	added ('OK')	text/html	etag:W/%22be1b745c9ea31a6bf392390e871c62b1%22	https://www.busuu.com/pl	C:/Users/juanp/Desktop/Trabajosu/ingles/nn/www.busuu.com/pl.html	(from https://www.busuu.com/)
01:04:36	189167/189167	---M-Z	200	added ('OK')	text/html	etag:W/%22aece043e4b99f95c4c7ed1e11b53243f%22	https://www.busuu.com/de	C:/Users/juanp/Desktop/Trabajosu/ingles/nn/www.busuu.com/de.html	(from https://www.busuu.com/)
01:04:37	228578/228578	---M-Z	200	added ('OK')	text/html	etag:W/%22d939d8d903c34eed83368590b2b88a66%22	https://www.busuu.com/ru	C:/Users/juanp/Desktop/Trabajosu/ingles/nn/www.busuu.com/ru.html	(from https://www.busuu.com/)
01:04:37	196466/196466	---M-Z	200	added ('OK')	text/html	etag:W/%22d275d369a7c5d17ccc943331e63633d2%22	https://www.busuu.com/ja	C:/Users/juanp/Desktop/Trabajosu/ingles/nn/www.busuu.com/ja.html	(from https://www.busuu.com/)
